user_id,phone,customer_name,order_id,order_time,restaurant_name,restaurant_category,delivery_area,delivery_lat,delivery_lon,order_amount_bdt,payment_method,order_status,source_updated_at,synthetic
USR001,01000000001,Demo User 001,FP0000010,2026-02-14T20:32:50+06:00,Cafe Metro Demo,Cafe,Badda,23.773254,90.421476,1627,cash,cancelled,2026-02-14T22:59:50+06:00,True
USR001,01000000001,Demo User 001,FP0000011,2026-02-16T07:16:55+06:00,Rice & Curry Demo,Bangla,Rampura,23.761872,90.424996,1044,mobile_wallet,delivered,2026-02-16T09:38:55+06:00,True
USR001,01000000001,Demo User 001,FP0000006,2026-03-14T04:56:36+06:00,Chicken Express Demo,Fast Food,Pallabi,23.83015,90.360011,1524,cash,delivered,2026-03-14T06:19:36+06:00,True
USR001,01000000001,Demo User 001,FP0000002,2026-03-19T09:43:27+06:00,Burger Lab Demo,Burgers,Gulshan,23.79016,90.402285,539,mobile_wallet,delivered,2026-03-19T11:42:27+06:00,True
USR001,01000000001,Demo User 001,FP0000003,2026-04-02T03:44:39+06:00,Thai Kitchen Demo,Thai,Bashundhara,23.816807,90.430476,849,cash,delivered,2026-04-02T05:51:39+06:00,True
USR001,01000000001,Demo User 001,FP0000008,2026-05-18T02:55:28+06:00,Pizza Corner Demo,Pizza,Badda,23.775871,90.42231,1662,mobile_wallet,delivered,2026-05-18T04:19:28+06:00,True
USR001,01000000001,Demo User 001,FP0000004,2026-05-22T18:26:50+06:00,Thai Kitchen Demo,Thai,Shyamoli,23.782278,90.370978,1264,cash,delivered,2026-05-22T20:17:50+06:00,True
USR001,01000000001,Demo User 001,FP0000007,2026-06-16T08:22:48+06:00,Rice & Curry Demo,Bangla,Bashundhara,23.808604,90.424665,1567,mobile_wallet,delivered,2026-06-16T08:52:48+06:00,True
USR001,01000000001,Demo User 001,FP0000001,2026-07-25T02:28:20+06:00,Dhaka Biryani Demo,Biryani,Mirpur,23.81587,90.370073,600,card,delivered,2026-07-25T04:25:20+06:00,True
USR001,01000000001,Demo User 001,FP0000005,2026-07-28T06:17:53+06:00,Dhaka Biryani Demo,Biryani,Dhanmondi,23.753579,90.382328,1101,mobile_wallet,delivered,2026-07-28T06:45:53+06:00,True
USR001,01000000001,Demo User 001,FP0000009,2026-08-06T16:27:43+06:00,Thai Kitchen Demo,Thai,Badda,23.775828,90.423733,571,card,delivered,2026-08-06T16:50:43+06:00,True
USR002,01000000002,Demo User 002,FP0000024,2026-02-20T13:35:41+06:00,Chicken Express Demo,Fast Food,Mirpur,23.820342,90.369596,1540,card,delivered,2026-02-20T16:11:41+06:00,True
USR002,01000000002,Demo User 002,FP0000022,2026-03-24T17:49:16+06:00,Pizza Corner Demo,Pizza,Mohammadpur,23.772689,90.355162,1789,cash,delivered,2026-03-24T18:30:16+06:00,True
USR002,01000000002,Demo User 002,FP0000017,2026-05-12T08:59:12+06:00,Kebab House Demo,Kebab,Shyamoli,23.780225,90.365917,1782,card,delivered,2026-05-12T10:10:12+06:00,True
USR002,01000000002,Demo User 002,FP0000015,2026-05-16T14:17:30+06:00,Cafe Metro Demo,Cafe,Gulshan,23.789786,90.412012,1417,cash,cancelled,2026-05-16T17:09:30+06:00,True
USR002,01000000002,Demo User 002,FP0000021,2026-06-04T22:55:28+06:00,Thai Kitchen Demo,Thai,Banani,23.799866,90.409768,1734,cash,delivered,2026-06-05T00:29:28+06:00,True
USR002,01000000002,Demo User 002,FP0000023,2026-06-25T07:07:56+06:00,Cafe Metro Demo,Cafe,Farmgate,23.753037,90.3945,1467,mobile_wallet,delivered,2026-06-25T09:48:56+06:00,True
USR002,01000000002,Demo User 002,FP0000013,2026-06-27T01:01:41+06:00,Burger Lab Demo,Burgers,Motijheel,23.733815,90.420603,301,card,refunded,2026-06-27T03:52:41+06:00,True
USR002,01000000002,Demo User 002,FP0000014,2026-07-02T16:24:11+06:00,Dhaka Biryani Demo,Biryani,Motijheel,23.728239,90.420643,1660,card,delivered,2026-07-02T18:11:11+06:00,True
USR002,01000000002,Demo User 002,FP0000012,2026-07-03T12:24:57+06:00,Kebab House Demo,Kebab,Badda,23.779837,90.422034,730,cash,delivered,2026-07-03T14:41:57+06:00,True
USR002,01000000002,Demo User 002,FP0000020,2026-07-06T19:59:11+06:00,Kebab House Demo,Kebab,Gulshan,23.795204,90.415092,431,cash,delivered,2026-07-06T22:45:11+06:00,True
