index,user_id,phone,customer_name,trip_id,request_time,vehicle_type,pickup_area,pickup_lat,pickup_lon,dropoff_area,dropoff_lat,dropoff_lon,distance_km,duration_min,fare_bdt,trip_status,source_updated_at,synthetic,provider_name,rider_id,rider_name,rider_phone,rider_role,rider_vehicle_type,rider_vehicle_number,rider_joined_at,rider_rating,rider_status,rider_primary_area,rider_dataset_activity_count,rider_dataset_completed_count,rider_total_completed_activities,rider_first_activity_at,rider_last_activity_at
0,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000001,2026-03-17T14:23:58+06:00,Car,Shyamoli,23.772142,90.357597,Mohammadpur,23.771343,90.364329,22.31,34,846,completed,2026-03-17T15:22:58+06:00,True,Pathao,PTH-DRV-009,Shakil Mahmud,8801713605120,driver,Car,Dhaka-Metro-GA-18-9142,2026-02-13,4.51,active,Wari,51,33,1315,2026-02-13T19:17:45+06:00,2026-08-09T23:46:24+06:00
1,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000002,2026-02-11T19:34:53+06:00,Bike,Mirpur,23.823606,90.37196,Rampura,23.764865,90.42229,18.82,27,421,completed,2026-02-11T20:04:53+06:00,True,Pathao,PTH-DRV-006,Sohel Mia,8801413282469,driver,Bike,Dhaka-Metro-LA-42-7072,2023-11-20,4.46,active,Bashundhara,56,39,678,2026-02-11T19:34:53+06:00,2026-07-27T18:56:51+06:00
2,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000003,2026-03-23T10:51:41+06:00,Car,Pallabi,23.833029,90.362351,Tejgaon,23.766411,90.385503,8.29,9,387,completed,2026-03-23T11:06:41+06:00,True,Pathao,PTH-DRV-014,Mehedi Hossain,8801466938163,driver,Car,Dhaka-Metro-GA-57-3382,2023-09-28,4.50,active,Farmgate,49,31,1649,2026-02-11T05:29:19+06:00,2026-08-07T22:28:04+06:00
3,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000004,2026-03-19T19:34:54+06:00,Premium Car,Tejgaon,23.771242,90.389917,Motijheel,23.733686,90.412823,14.93,51,689,cancelled_by_user,2026-03-19T20:37:54+06:00,True,Pathao,PTH-DRV-017,Rubel Hossain,8801596800093,driver,Premium Car,Dhaka-Metro-GA-59-1389,2023-10-30,4.39,active,Dhanmondi,43,24,856,2026-02-13T21:12:16+06:00,2026-07-24T19:50:49+06:00
4,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000005,2026-07-11T09:00:05+06:00,Premium Car,Badda,23.787275,90.433295,Mohakhali,23.770074,90.400763,4.47,57,392,completed,2026-07-11T10:19:05+06:00,True,Pathao,PTH-DRV-023,Al Amin Khan,8801354736696,driver,Premium Car,Dhaka-Metro-GA-39-9114,2023-07-25,4.89,active,Mohammadpur,44,34,437,2026-02-24T14:00:15+06:00,2026-08-10T04:16:51+06:00
5,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000006,2026-03-05T22:23:11+06:00,Bike,Tejgaon,23.760848,90.386742,Rampura,23.765447,90.413693,15.61,78,309,completed,2026-03-06T00:06:11+06:00,True,Pathao,PTH-DRV-001,Nayeem Sarker,8801967036821,driver,Bike,Dhaka-Metro-LA-50-6184,2025-12-26,4.94,active,Tejgaon,58,41,819,2026-02-10T15:17:23+06:00,2026-08-09T07:35:51+06:00
6,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000007,2026-06-22T15:46:04+06:00,Car,Motijheel,23.729835,90.418062,Rampura,23.754337,90.423314,8.48,75,350,completed,2026-06-22T17:09:04+06:00,True,Pathao,PTH-DRV-012,Sakib Mahmud,8801701651316,driver,Car,Dhaka-Metro-GA-26-4203,2025-11-08,4.74,active,Bashundhara,50,31,1374,2026-02-18T14:40:42+06:00,2026-08-10T20:12:47+06:00
7,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000008,2026-05-07T15:16:02+06:00,Premium Car,Gulshan,23.796847,90.398986,Mohammadpur,23.768463,90.359713,20.27,15,892,completed,2026-05-07T15:49:02+06:00,True,Pathao,PTH-DRV-019,Tanvir Hossain,8801568844033,driver,Premium Car,Dhaka-Metro-GA-43-7960,2024-08-01,4.63,active,Gulshan,60,39,678,2026-02-13T02:57:39+06:00,2026-08-10T06:23:33+06:00
8,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000009,2026-08-03T15:59:48+06:00,Premium Car,Badda,23.775643,90.428655,Mohammadpur,23.767082,90.353973,21.76,18,1040,completed,2026-08-03T16:29:48+06:00,True,Pathao,PTH-DRV-021,Shuvo Chowdhury,8801396729644,driver,Premium Car,Dhaka-Metro-GA-18-5728,2024-05-09,4.49,active,Mirpur,61,41,785,2026-02-10T13:58:31+06:00,2026-08-07T01:44:36+06:00
9,USR001,+8801584323851,Sanjida Khan,PTH-RIDE-0000010,2026-04-23T19:05:12+06:00,Bike,Uttara,23.882629,90.384841,Gulshan,23.785738,90.401086,5.99,50,236,completed,2026-04-23T20:12:12+06:00,True,Pathao,PTH-DRV-002,Sabbir Ali,8801715535227,driver,Bike,Dhaka-Metro-LA-43-4404,2024-01-15,4.70,active,Uttara,47,34,1379,2026-02-14T01:39:55+06:00,2026-08-09T11:23:20+06:00
