index,user_id,phone,customer_name,order_id,order_time,seller_name,product_category,item_count,delivery_area,delivery_lat,delivery_lon,order_amount_bdt,payment_method,order_status,source_updated_at,synthetic,provider_name,rider_id,rider_name,rider_phone,rider_role,rider_vehicle_type,rider_vehicle_number,rider_joined_at,rider_rating,rider_status,rider_primary_area,rider_dataset_activity_count,rider_dataset_completed_count,rider_total_completed_activities,rider_first_activity_at,rider_last_activity_at
0,USR001,+8801584323851,Sanjida Khan,RKM0000001,2026-05-05T20:30:24+06:00,Pragya Demo Book House,Religion,2,Gulshan,23.786479,90.405542,2248,cash,delivered,2026-05-07T19:30:24+06:00,True,Rokomari,RKM-RDR-006,Shamim Karim,8801999724975,delivery_rider,Bike,Dhaka-Metro-LA-31-7317,2023-01-06,4.80,active,Gulshan,49,27,451,2026-02-12T06:57:54+06:00,2026-07-29T17:38:13+06:00
1,USR001,+8801584323851,Sanjida Khan,RKM0000002,2026-03-20T21:33:45+06:00,Pragya Demo Book House,Biography,5,Khilgaon,23.742614,90.433743,420,mobile_wallet,returned,2026-03-21T19:33:45+06:00,True,Rokomari,RKM-RDR-007,Noman Rahman,8801316743606,delivery_rider,Bike,Dhaka-Metro-LA-37-5287,2025-09-08,4.70,temporarily_inactive,Khilgaon,53,31,1154,2026-02-11T14:39:35+06:00,2026-08-09T03:13:19+06:00
2,USR001,+8801584323851,Sanjida Khan,RKM0000003,2026-06-14T09:33:44+06:00,Akshar Demo Publications,Non-Fiction,5,Shyamoli,23.782252,90.37044,4141,card,cancelled,2026-06-19T08:33:44+06:00,True,Rokomari,RKM-RDR-015,Mehedi Sheikh,8801376047729,delivery_rider,Bike,Dhaka-Metro-LA-48-9875,2025-11-17,4.56,active,Shyamoli,44,22,1705,2026-02-19T04:20:02+06:00,2026-08-03T03:52:15+06:00
3,USR001,+8801584323851,Sanjida Khan,RKM0000004,2026-06-10T12:40:07+06:00,Gyanpath Demo Publications,Non-Fiction,4,Shyamoli,23.77632,90.366029,1672,card,delivered,2026-06-19T19:40:07+06:00,True,Rokomari,RKM-RDR-015,Mehedi Sheikh,8801376047729,delivery_rider,Bike,Dhaka-Metro-LA-48-9875,2025-11-17,4.56,active,Shyamoli,44,22,1705,2026-02-19T04:20:02+06:00,2026-08-03T03:52:15+06:00
4,USR001,+8801584323851,Sanjida Khan,RKM0000005,2026-03-16T04:03:33+06:00,Shikkhaloy Demo Books,Exam Preparation,4,Tejgaon,23.762083,90.397176,897,mobile_wallet,processing,2026-03-17T13:03:33+06:00,True,Rokomari,RKM-RDR-016,Shuvo Mahmud,8801674629335,delivery_rider,Bicycle,BIC-76953,2023-10-17,4.53,active,Tejgaon,43,17,253,2026-02-13T17:57:55+06:00,2026-08-06T02:47:10+06:00
5,USR001,+8801584323851,Sanjida Khan,RKM0000006,2026-06-24T10:26:33+06:00,Natunpata Demo Publication,Fiction,5,Motijheel,23.732056,90.426038,2381,mobile_wallet,returned,2026-06-30T03:26:33+06:00,True,Rokomari,RKM-RDR-011,Sumon Uddin,8801903242764,delivery_rider,Bike,Dhaka-Metro-LA-44-1426,2023-08-04,4.66,active,Motijheel,43,22,1317,2026-02-12T04:42:40+06:00,2026-08-06T08:07:38+06:00
6,USR002,+8801757183416,Rakib Jahan,RKM0000007,2026-04-06T10:23:37+06:00,Sahityaghar Demo Publications,Children,4,Mirpur,23.815243,90.36387,1460,mobile_wallet,returned,2026-04-09T02:23:37+06:00,True,Rokomari,RKM-RDR-008,Mehedi Mia,8801903214455,delivery_rider,Bike,Dhaka-Metro-LA-48-7063,2023-02-20,4.42,active,Mirpur,58,32,333,2026-02-14T18:44:07+06:00,2026-08-08T13:29:34+06:00
7,USR002,+8801757183416,Rakib Jahan,RKM0000008,2026-03-27T08:35:23+06:00,Natunpata Demo Publication,Science & Technology,2,Wari,23.72948,90.419055,1280,card,delivered,2026-04-01T11:35:23+06:00,True,Rokomari,RKM-RDR-018,Sohel Sarker,8801409053113,delivery_rider,Bicycle,BIC-69174,2024-04-13,4.26,active,Wari,43,27,1288,2026-02-26T19:01:14+06:00,2026-08-07T20:15:31+06:00
8,USR002,+8801757183416,Rakib Jahan,RKM0000009,2026-04-04T20:44:54+06:00,Sahityaghar Demo Publications,Business,2,Khilgaon,23.747874,90.424736,2916,cash,processing,2026-04-12T03:44:54+06:00,True,Rokomari,RKM-RDR-007,Noman Rahman,8801316743606,delivery_rider,Bike,Dhaka-Metro-LA-37-5287,2025-09-08,4.70,temporarily_inactive,Khilgaon,53,31,1154,2026-02-11T14:39:35+06:00,2026-08-09T03:13:19+06:00
9,USR002,+8801757183416,Rakib Jahan,RKM0000010,2026-02-20T00:33:25+06:00,Sahityaghar Demo Publications,Biography,4,Mohakhali,23.777169,90.398103,987,mobile_wallet,returned,2026-02-23T17:33:25+06:00,True,Rokomari,RKM-RDR-009,Nayeem Hasan,8801324471418,delivery_rider,Bike,Dhaka-Metro-LA-34-5388,2024-11-23,4.65,active,Mohakhali,36,19,1188,2026-02-19T08:50:41+06:00,2026-08-02T04:47:49+06:00
10,USR002,+8801757183416,Rakib Jahan,RKM0000011,2026-04-11T03:52:25+06:00,Pathshala Demo Books,Exam Preparation,3,Mohakhali,23.77411,90.395457,1281,mobile_wallet,delivered,2026-04-19T17:52:25+06:00,True,Rokomari,RKM-RDR-009,Nayeem Hasan,8801324471418,delivery_rider,Bike,Dhaka-Metro-LA-34-5388,2024-11-23,4.65,active,Mohakhali,36,19,1188,2026-02-19T08:50:41+06:00,2026-08-02T04:47:49+06:00
11,USR002,+8801757183416,Rakib Jahan,RKM0000012,2026-06-15T09:47:18+06:00,Kalam Demo Publications,Science & Technology,2,Rampura,23.754621,90.429628,3756,mobile_wallet,delivered,2026-06-22T05:47:18+06:00,True,Rokomari,RKM-RDR-014,Hasan Sarker,8801938904423,delivery_rider,Bike,Dhaka-Metro-LA-21-8928,2023-08-20,4.35,active,Rampura,58,30,832,2026-02-11T14:04:39+06:00,2026-07-31T09:46:08+06:00
12,USR002,+8801757183416,Rakib Jahan,RKM0000013,2026-04-05T12:56:36+06:00,Akshar Demo Publications,Religion,1,Uttara,23.870858,90.380176,4279,mobile_wallet,returned,2026-04-14T13:56:36+06:00,True,Rokomari,RKM-RDR-017,Emon Rahman,8801932543816,delivery_rider,Bike,Dhaka-Metro-LA-59-3501,2026-03-29,4.62,active,Uttara,52,27,1300,2026-02-11T17:22:46+06:00,2026-08-06T10:33:58+06:00
13,USR003,+8801354621115,Tania Islam,RKM0000014,2026-07-13T07:42:02+06:00,Gyanpath Demo Publications,Science & Technology,1,Gulshan,23.79527,90.414445,2557,cash,returned,2026-07-19T17:42:02+06:00,True,Rokomari,RKM-RDR-006,Shamim Karim,8801999724975,delivery_rider,Bike,Dhaka-Metro-LA-31-7317,2023-01-06,4.80,active,Gulshan,49,27,451,2026-02-12T06:57:54+06:00,2026-07-29T17:38:13+06:00
14,USR003,+8801354621115,Tania Islam,RKM0000015,2026-06-07T10:09:21+06:00,Boibagan Demo Publications,History,1,Dhanmondi,23.739914,90.374823,4154,card,returned,2026-06-12T18:09:21+06:00,True,Rokomari,RKM-RDR-004,Fahim Karim,8801564428282,delivery_rider,Bike,Dhaka-Metro-LA-49-5778,2023-06-10,4.82,active,Dhanmondi,58,29,821,2026-02-14T08:31:15+06:00,2026-08-10T21:30:40+06:00
15,USR003,+8801354621115,Tania Islam,RKM0000016,2026-02-13T12:37:13+06:00,Pathshala Demo Books,Business,5,Badda,23.787348,90.424566,392,cash,delivered,2026-02-14T01:37:13+06:00,True,Rokomari,RKM-RDR-001,Hasan Chowdhury,8801871778083,delivery_rider,Bike,Dhaka-Metro-LA-49-2544,2023-03-12,4.55,active,Badda,27,10,1110,2026-02-11T03:30:55+06:00,2026-08-07T13:48:18+06:00
16,USR003,+8801354621115,Tania Islam,RKM0000017,2026-03-30T06:37:26+06:00,Natunpata Demo Publication,Biography,1,Uttara,23.868223,90.376481,3403,card,delivered,2026-04-07T04:37:26+06:00,True,Rokomari,RKM-RDR-017,Emon Rahman,8801932543816,delivery_rider,Bike,Dhaka-Metro-LA-59-3501,2026-03-29,4.62,active,Uttara,52,27,1300,2026-02-11T17:22:46+06:00,2026-08-06T10:33:58+06:00
17,USR003,+8801354621115,Tania Islam,RKM0000018,2026-06-07T18:00:20+06:00,Boibagan Demo Publications,Exam Preparation,5,Khilgaon,23.748474,90.424782,1588,mobile_wallet,delivered,2026-06-08T00:00:20+06:00,True,Rokomari,RKM-RDR-007,Noman Rahman,8801316743606,delivery_rider,Bike,Dhaka-Metro-LA-37-5287,2025-09-08,4.70,temporarily_inactive,Khilgaon,53,31,1154,2026-02-11T14:39:35+06:00,2026-08-09T03:13:19+06:00
18,USR003,+8801354621115,Tania Islam,RKM0000019,2026-08-04T21:46:20+06:00,Akshar Demo Publications,Fiction,3,Motijheel,23.741601,90.423203,3394,card,delivered,2026-08-14T20:46:20+06:00,True,Rokomari,RKM-RDR-011,Sumon Uddin,8801903242764,delivery_rider,Bike,Dhaka-Metro-LA-44-1426,2023-08-04,4.66,active,Motijheel,43,22,1317,2026-02-12T04:42:40+06:00,2026-08-06T08:07:38+06:00
19,USR003,+8801354621115,Tania Islam,RKM0000020,2026-03-28T17:37:58+06:00,Gyanpath Demo Publications,Science & Technology,5,Banani,23.793367,90.400538,3783,card,delivered,2026-04-02T01:37:58+06:00,True,Rokomari,RKM-RDR-002,Sabbir Sheikh,8801646093550,delivery_rider,Bike,Dhaka-Metro-LA-47-8925,2023-01-15,4.78,active,Banani,25,11,869,2026-02-10T18:00:19+06:00,2026-08-10T20:22:38+06:00
20,USR003,+8801354621115,Tania Islam,RKM0000021,2026-07-30T22:49:58+06:00,Pragya Demo Book House,Religion,1,Rampura,23.76052,90.419062,4736,card,returned,2026-08-05T02:49:58+06:00,True,Rokomari,RKM-RDR-014,Hasan Sarker,8801938904423,delivery_rider,Bike,Dhaka-Metro-LA-21-8928,2023-08-20,4.35,active,Rampura,58,30,832,2026-02-11T14:04:39+06:00,2026-07-31T09:46:08+06:00
