user_id,phone,customer_name,trip_id,request_time,vehicle_type,pickup_area,pickup_lat,pickup_lon,dropoff_area,dropoff_lat,dropoff_lon,distance_km,duration_min,fare_bdt,trip_status,source_updated_at,synthetic
USR001,01000000001,Demo User 001,UB0000009,2026-02-26T22:35:53+06:00,Moto,Mohammadpur,23.769915,90.355348,Dhanmondi,23.75165,90.379684,12.82,24,471,completed,2026-02-26T23:12:53+06:00,True
USR001,01000000001,Demo User 001,UB0000012,2026-03-07T15:36:02+06:00,Premier,Dhanmondi,23.750459,90.369143,Motijheel,23.73441,90.415237,9.36,62,344,completed,2026-03-07T16:52:02+06:00,True
USR001,01000000001,Demo User 001,UB0000015,2026-03-30T20:52:23+06:00,Premier,Farmgate,23.761152,90.394218,Shyamoli,23.773313,90.360844,6.51,68,240,completed,2026-03-30T22:15:23+06:00,True
USR001,01000000001,Demo User 001,UB0000013,2026-04-15T11:21:34+06:00,Moto,Tejgaon,23.763638,90.388053,Wari,23.719933,90.414605,6.09,42,208,completed,2026-04-15T12:13:34+06:00,True
USR001,01000000001,Demo User 001,UB0000016,2026-04-25T20:58:15+06:00,Moto,Tejgaon,23.768295,90.401697,Gulshan,23.788625,90.402457,16.83,14,626,completed,2026-04-25T21:14:15+06:00,True
USR001,01000000001,Demo User 001,UB0000006,2026-04-26T22:59:08+06:00,Premier,Tejgaon,23.764824,90.395155,Old Dhaka,23.70431,90.406061,23.72,59,725,completed,2026-04-27T00:10:08+06:00,True
USR001,01000000001,Demo User 001,UB0000005,2026-05-03T11:32:08+06:00,Moto,Gulshan,23.795889,90.415477,Mohammadpur,23.771212,90.36275,9.98,35,262,completed,2026-05-03T12:22:08+06:00,True
USR001,01000000001,Demo User 001,UB0000003,2026-05-08T13:53:27+06:00,UberX,Tejgaon,23.767709,90.3947,Pallabi,23.834101,90.360272,13.04,15,400,completed,2026-05-08T14:11:27+06:00,True
USR001,01000000001,Demo User 001,UB0000017,2026-05-09T14:34:12+06:00,Moto,Wari,23.722943,90.425555,Banani,23.798867,90.406222,17.75,66,424,completed,2026-05-09T15:58:12+06:00,True
USR001,01000000001,Demo User 001,UB0000001,2026-05-16T15:36:20+06:00,UberX,Rampura,23.755473,90.422794,Motijheel,23.725173,90.415245,11.77,51,392,completed,2026-05-16T16:41:20+06:00,True
USR001,01000000001,Demo User 001,UB0000011,2026-06-06T21:43:51+06:00,UberX,Dhanmondi,23.750384,90.370556,Shyamoli,23.766802,90.367799,18.53,12,450,completed,2026-06-06T21:55:51+06:00,True
USR001,01000000001,Demo User 001,UB0000010,2026-06-17T11:17:53+06:00,UberX,Mirpur,23.824,90.361943,Tejgaon,23.756858,90.394178,7.39,67,234,completed,2026-06-17T12:32:53+06:00,True
USR001,01000000001,Demo User 001,UB0000004,2026-07-07T03:46:07+06:00,Premier,Pallabi,23.825323,90.371618,Gulshan,23.797632,90.409496,2.83,67,108,completed,2026-07-07T05:00:07+06:00,True
USR001,01000000001,Demo User 001,UB0000002,2026-07-08T02:11:51+06:00,Premier,Farmgate,23.760212,90.38619,Banani,23.791277,90.405762,4.54,64,174,completed,2026-07-08T03:32:51+06:00,True
USR001,01000000001,Demo User 001,UB0000014,2026-07-13T00:53:03+06:00,UberX,Badda,23.787619,90.427983,Mirpur,23.823126,90.358548,9.13,67,311,cancelled_by_driver,2026-07-13T02:06:03+06:00,True
USR001,01000000001,Demo User 001,UB0000008,2026-07-28T21:28:12+06:00,Moto,Tejgaon,23.770929,90.386486,Banani,23.785994,90.40675,20.37,34,543,completed,2026-07-28T22:22:12+06:00,True
USR001,01000000001,Demo User 001,UB0000007,2026-08-09T06:56:10+06:00,Premier,Dhanmondi,23.743556,90.377666,Banani,23.799221,90.409918,18.59,69,526,completed,2026-08-09T08:21:10+06:00,True
USR002,01000000002,Demo User 002,UB0000030,2026-02-28T06:36:16+06:00,Premier,Motijheel,23.726573,90.420455,Mohammadpur,23.761792,90.356444,11.73,33,341,completed,2026-02-28T07:22:16+06:00,True
USR002,01000000002,Demo User 002,UB0000032,2026-03-27T05:25:46+06:00,Moto,Motijheel,23.737715,90.421569,Mohakhali,23.77373,90.399607,18.28,46,674,completed,2026-03-27T06:18:46+06:00,True
USR002,01000000002,Demo User 002,UB0000025,2026-04-05T13:11:15+06:00,UberX,Mirpur,23.828127,90.363983,Banani,23.78712,90.40151,18.27,72,568,completed,2026-04-05T14:31:15+06:00,True
USR002,01000000002,Demo User 002,UB0000028,2026-04-08T16:18:11+06:00,UberX,Uttara,23.868562,90.376802,Badda,23.785822,90.422613,6.18,29,212,ongoing,2026-04-08T16:59:11+06:00,True
USR002,01000000002,Demo User 002,UB0000027,2026-04-25T19:28:53+06:00,UberX,Bashundhara,23.822213,90.420001,Uttara,23.882236,90.386844,23.86,70,832,completed,2026-04-25T20:53:53+06:00,True
USR002,01000000002,Demo User 002,UB0000023,2026-05-04T23:32:34+06:00,Premier,Khilgaon,23.751503,90.426918,Motijheel,23.735285,90.413125,22.94,46,671,completed,2026-05-05T00:33:34+06:00,True
USR002,01000000002,Demo User 002,UB0000026,2026-05-05T16:57:13+06:00,Premier,Badda,23.78345,90.419398,Motijheel,23.72946,90.412351,6.3,56,173,completed,2026-05-05T17:54:13+06:00,True
USR002,01000000002,Demo User 002,UB0000024,2026-05-09T02:34:54+06:00,Premier,Mirpur,23.817964,90.364491,Tejgaon,23.764731,90.397775,22.87,15,680,completed,2026-05-09T02:55:54+06:00,True
USR002,01000000002,Demo User 002,UB0000018,2026-05-11T00:57:26+06:00,Moto,Banani,23.788823,90.401985,Badda,23.788197,90.429811,5.4,57,206,completed,2026-05-11T01:56:26+06:00,True
USR002,01000000002,Demo User 002,UB0000022,2026-05-11T16:50:33+06:00,Moto,Badda,23.781699,90.430985,Rampura,23.762348,90.419746,22.93,75,701,completed,2026-05-11T18:08:33+06:00,True
USR002,01000000002,Demo User 002,UB0000019,2026-06-03T07:37:19+06:00,Premier,Wari,23.726802,90.423139,Dhanmondi,23.741316,90.377716,15.77,27,505,completed,2026-06-03T08:06:19+06:00,True
USR002,01000000002,Demo User 002,UB0000031,2026-07-02T06:29:21+06:00,UberX,Rampura,23.753862,90.417845,Mirpur,23.823942,90.369493,11.4,11,397,completed,2026-07-02T06:54:21+06:00,True
USR002,01000000002,Demo User 002,UB0000029,2026-07-05T14:33:09+06:00,Premier,Farmgate,23.755132,90.384128,Shyamoli,23.77856,90.362331,2.02,51,107,cancelled_by_rider,2026-07-05T15:28:09+06:00,True
USR002,01000000002,Demo User 002,UB0000021,2026-07-12T07:11:03+06:00,Moto,Tejgaon,23.757379,90.38705,Gulshan,23.787396,90.400155,22.41,50,630,completed,2026-07-12T08:19:03+06:00,True
USR002,01000000002,Demo User 002,UB0000020,2026-07-19T15:00:22+06:00,UberX,Mohakhali,23.783663,90.401061,Badda,23.775604,90.428132,3.53,55,132,completed,2026-07-19T15:55:22+06:00,True
USR003,01000000003,Demo User 003,UB0000055,2026-02-16T12:53:12+06:00,Moto,Tejgaon,23.761538,90.391035,Motijheel,23.740006,90.415321,7.74,67,205,completed,2026-02-16T14:20:12+06:00,True
USR003,01000000003,Demo User 003,UB0000058,2026-02-24T20:38:20+06:00,UberX,Old Dhaka,23.706747,90.40019,Gulshan,23.797346,90.410786,12.94,57,345,completed,2026-02-24T21:50:20+06:00,True
USR003,01000000003,Demo User 003,UB0000037,2026-02-27T07:19:24+06:00,Premier,Banani,23.795475,90.411472,Motijheel,23.72716,90.412502,7.65,60,295,completed,2026-02-27T08:25:24+06:00,True
USR003,01000000003,Demo User 003,UB0000049,2026-03-03T05:12:37+06:00,UberX,Motijheel,23.739067,90.410314,Mohammadpur,23.768903,90.35536,2.29,39,131,completed,2026-03-03T06:10:37+06:00,True
USR003,01000000003,Demo User 003,UB0000045,2026-03-06T06:22:08+06:00,UberX,Pallabi,23.822034,90.367393,Motijheel,23.730906,90.415478,8.04,13,237,completed,2026-03-06T06:45:08+06:00,True
USR003,01000000003,Demo User 003,UB0000053,2026-03-19T06:44:46+06:00,Premier,Pallabi,23.823531,90.357626,Mohakhali,23.787982,90.398659,3.17,23,121,completed,2026-03-19T07:27:46+06:00,True
USR003,01000000003,Demo User 003,UB0000046,2026-03-21T03:37:44+06:00,Moto,Badda,23.784054,90.421429,Gulshan,23.788858,90.40019,22.06,75,480,completed,2026-03-21T05:11:44+06:00,True
USR003,01000000003,Demo User 003,UB0000050,2026-03-26T02:09:43+06:00,Premier,Wari,23.713874,90.413032,Shyamoli,23.782457,90.364542,11.52,11,436,completed,2026-03-26T02:40:43+06:00,True
USR003,01000000003,Demo User 003,UB0000038,2026-03-26T22:30:44+06:00,Moto,Mohammadpur,23.770971,90.362492,Pallabi,23.825845,90.370282,3.38,56,157,completed,2026-03-26T23:37:44+06:00,True
USR003,01000000003,Demo User 003,UB0000059,2026-03-26T22:33:25+06:00,Premier,Banani,23.791017,90.410711,Shyamoli,23.781191,90.361016,7.85,39,260,completed,2026-03-26T23:29:25+06:00,True
USR003,01000000003,Demo User 003,UB0000052,2026-03-30T11:36:49+06:00,Moto,Farmgate,23.757119,90.388908,Bashundhara,23.814245,90.433026,6.69,17,234,completed,2026-03-30T11:55:49+06:00,True
USR003,01000000003,Demo User 003,UB0000034,2026-04-02T20:43:15+06:00,Moto,Old Dhaka,23.713507,90.409394,Shyamoli,23.779897,90.369164,7.37,10,263,completed,2026-04-02T21:01:15+06:00,True
USR003,01000000003,Demo User 003,UB0000048,2026-04-07T03:53:44+06:00,Premier,Farmgate,23.752924,90.385544,Khilgaon,23.746835,90.423237,11.59,11,380,completed,2026-04-07T04:04:44+06:00,True
USR003,01000000003,Demo User 003,UB0000042,2026-04-24T13:27:04+06:00,Premier,Khilgaon,23.747313,90.418915,Uttara,23.874038,90.385311,14.29,71,372,completed,2026-04-24T14:42:04+06:00,True
USR003,01000000003,Demo User 003,UB0000039,2026-04-25T21:19:29+06:00,Moto,Mohammadpur,23.771921,90.352674,Rampura,23.764809,90.417838,14.85,72,381,completed,2026-04-25T22:34:29+06:00,True
USR003,01000000003,Demo User 003,UB0000033,2026-04-28T12:34:14+06:00,Moto,Khilgaon,23.744328,90.430543,Banani,23.788779,90.399157,12.45,35,451,completed,2026-04-28T13:27:14+06:00,True
USR003,01000000003,Demo User 003,UB0000035,2026-05-03T01:19:45+06:00,Premier,Mohakhali,23.774917,90.39196,Dhanmondi,23.751127,90.380547,20.6,38,539,completed,2026-05-03T02:04:45+06:00,True
USR003,01000000003,Demo User 003,UB0000054,2026-05-05T20:11:49+06:00,UberX,Bashundhara,23.821461,90.431171,Gulshan,23.795722,90.408171,11.17,54,266,completed,2026-05-05T21:12:49+06:00,True
USR003,01000000003,Demo User 003,UB0000040,2026-05-07T07:06:48+06:00,Premier,Khilgaon,23.757661,90.429799,Mirpur,23.827545,90.363156,18.44,67,564,completed,2026-05-07T08:33:48+06:00,True
USR003,01000000003,Demo User 003,UB0000056,2026-05-11T11:00:46+06:00,Premier,Motijheel,23.734177,90.409495,Mirpur,23.826118,90.371935,3.63,72,139,cancelled_by_driver,2026-05-11T12:19:46+06:00,True
USR003,01000000003,Demo User 003,UB0000047,2026-05-15T01:22:08+06:00,Moto,Banani,23.799877,90.404837,Old Dhaka,23.709459,90.401331,6.58,14,223,completed,2026-05-15T01:43:08+06:00,True
USR003,01000000003,Demo User 003,UB0000041,2026-05-19T19:29:51+06:00,UberX,Mohammadpur,23.766919,90.365676,Wari,23.713365,90.425456,1.73,26,91,completed,2026-05-19T20:12:51+06:00,True
USR003,01000000003,Demo User 003,UB0000043,2026-05-29T08:13:24+06:00,Premier,Uttara,23.876925,90.374775,Shyamoli,23.779906,90.368454,13.21,50,385,completed,2026-05-29T09:03:24+06:00,True
USR003,01000000003,Demo User 003,UB0000051,2026-06-16T07:27:19+06:00,Premier,Tejgaon,23.75651,90.392785,Rampura,23.757368,90.421361,10.59,11,394,completed,2026-06-16T07:47:19+06:00,True
